,turn_nr,ref_know_nr,ref_know_avg_sentiment,ref_response_length,ref_response_sent_nr,ref_response_summary_sentiment,pred_know_nr,pred_know_avg_sentiment,pred_know_std_sentiment,pred_know_entropy_sentiment,pred_response_length,pred_response_sent_nr,pred_response_summary_sentiment,bleu,meteor,rouge1,rouge2,rougeL,appropriateness,relevance
count,2129.0,2129.0,2129.0,2129.0,2129.0,2129.0,2111.0,2106.0,1653.0,2068.0,2127.0,2127.0,2127.0,2127.0,2127.0,2127.0,2127.0,2127.0,0.0,0.0
mean,8.43917332080789,4.07186472522311,0.3123133394346477,133.54673555659934,1.6899953029591357,0.2994890686636845,4.730459497868309,0.2978694673337532,0.259280494737357,inf,181.62341325811002,2.149036201222379,0.09843235589568453,0.0675388012026355,0.16706780574409696,0.3209237365345458,0.11570958438020648,0.24104812143785181,,
std,4.227015076757772,2.546374827798732,0.2176015451281906,32.04843608588113,0.6587314434878462,0.3008700487090567,3.1318295195416597,0.2098928958353453,0.10159573449206401,,43.1760455542057,0.3754931058441103,0.242745333242096,0.058438014146077195,0.062143498873007685,0.10782132142560862,0.08915541255626291,0.09406542473154772,,
min,3.0,1.0,-1.0,98.0,1.0,-0.6125,1.0,-1.0,0.0288675134594812,0.0,9.0,1.0,-0.6,0.0,0.0,0.0,0.0,0.0,,
25%,5.0,3.0,0.1555555555555555,111.0,1.0,0.075,3.0,0.15365740740740733,0.1933186228667325,0.0694886225533598,150.0,2.0,-0.0833333333333333,0.026528070201715853,0.12196409790936774,0.2461538461538461,0.04301572617946345,0.175438596491228,,
50%,7.0,4.0,0.2877777777777778,124.0,2.0,0.2816666666666667,4.0,0.2916666666666667,0.2259626010944793,0.4424055465689223,174.0,2.0,0.1111111111111111,0.0466804902309524,0.1649664015098292,0.3157894736842105,0.1025641025641025,0.2295081967213114,,
75%,11.0,5.0,0.4636111111111111,144.0,2.0,0.5,6.0,0.4593650793650794,0.3197082002910362,,206.0,2.0,0.2444444444444444,0.09350216657888705,0.2068719657907495,0.392156862745098,0.16884439165111145,0.2926829268292683,,
max,27.0,28.0,1.0,326.0,5.0,1.0,47.0,1.0,0.7189311768431225,inf,416.0,4.0,1.0,0.489453596218689,0.4209897489696484,0.7636363636363636,0.5384615384615385,0.6666666666666667,,
