,turn_nr,ref_know_nr,ref_know_avg_sentiment,ref_response_length,ref_response_sent_nr,ref_response_summary_sentiment,pred_know_nr,pred_know_avg_sentiment,pred_know_std_sentiment,pred_know_entropy_sentiment,pred_response_length,pred_response_sent_nr,pred_response_summary_sentiment,bleu,meteor,rouge1,rouge2,rougeL,appropriateness,relevance
count,2129.0,2129.0,2129.0,2129.0,2129.0,2129.0,2111.0,2106.0,1653.0,2068.0,2127.0,2127.0,2127.0,2127.0,2127.0,2127.0,2127.0,2127.0,0.0,0.0
mean,8.43917332080789,4.07186472522311,0.3123133394346477,133.54673555659934,1.6899953029591357,0.2994890686636845,4.730459497868309,0.2978694673337532,0.259280494737357,inf,150.2449459332393,1.85049365303244,0.30422657400211295,0.05825110640594198,0.15505748410968245,0.3125378287404247,0.10060310648246416,0.23586503325987607,,
std,4.227015076757772,2.546374827798732,0.2176015451281906,32.04843608588113,0.6587314434878462,0.3008700487090567,3.1318295195416597,0.2098928958353453,0.10159573449206401,,54.898269824398874,0.6636854333935147,0.2771712654906957,0.055914284300220794,0.0607438008550231,0.11127336514031258,0.09570698260384691,0.10301540252626627,,
min,3.0,1.0,-1.0,98.0,1.0,-0.6125,1.0,-1.0,0.0288675134594812,0.0,9.0,1.0,-0.6,0.0,0.0,0.0,0.0,0.0,,
25%,5.0,3.0,0.1555555555555555,111.0,1.0,0.075,3.0,0.15365740740740733,0.1933186228667325,0.0694886225533598,110.0,1.0,0.1,0.0225739430924201,0.11251223948446305,0.2352941176470588,0.0338983050847457,0.1666666666666666,,
50%,7.0,4.0,0.2877777777777778,124.0,2.0,0.2816666666666667,4.0,0.2916666666666667,0.2259626010944793,0.4424055465689223,146.0,2.0,0.2833333333333333,0.0373037168473003,0.1500657489927768,0.3050847457627119,0.0779220779220779,0.21875,,
75%,11.0,5.0,0.4636111111111111,144.0,2.0,0.5,6.0,0.4593650793650794,0.3197082002910362,,182.0,2.0,0.4666666666666667,0.0726909430617631,0.19132683047942184,0.380952380952381,0.15,0.2857142857142857,,
max,27.0,28.0,1.0,326.0,5.0,1.0,47.0,1.0,0.7189311768431225,inf,399.0,5.0,1.0,0.4379983128083005,0.4365649013711569,0.7567567567567567,0.6153846153846154,0.7567567567567567,,
