,turn_nr,ref_know_nr,ref_know_avg_sentiment,ref_response_length,ref_response_sent_nr,ref_response_summary_sentiment,pred_know_nr,pred_know_avg_sentiment,pred_know_std_sentiment,pred_know_entropy_sentiment,pred_response_length,pred_response_sent_nr,pred_response_summary_sentiment,bleu,meteor,rouge1,rouge2,rougeL,appropriateness,relevance
count,2129.0,2129.0,2129.0,2129.0,2129.0,2129.0,2111.0,2106.0,1653.0,2068.0,2127.0,2127.0,2127.0,2127.0,2127.0,2127.0,2127.0,2127.0,0.0,0.0
mean,8.43917332080789,4.07186472522311,0.3123133394346477,133.54673555659934,1.6899953029591357,0.2994890686636845,4.730459497868309,0.2978694673337532,0.259280494737357,inf,277.56746591443346,3.376586741889986,0.27177469286694944,0.03400487196033882,0.14606277720102925,0.2504480875877936,0.07130385607595625,0.1946495100609653,,
std,4.227015076757772,2.546374827798732,0.2176015451281906,32.04843608588113,0.6587314434878462,0.3008700487090567,3.1318295195416597,0.2098928958353453,0.10159573449206401,,62.32576114780686,0.8711304761973339,0.2482186334158892,0.029236822271265124,0.050509292633132356,0.07936755338621147,0.05900016802454495,0.06606141440945743,,
min,3.0,1.0,-1.0,98.0,1.0,-0.6125,1.0,-1.0,0.0288675134594812,0.0,9.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,,
25%,5.0,3.0,0.1555555555555555,111.0,1.0,0.075,3.0,0.15365740740740733,0.1933186228667325,0.0694886225533598,232.0,3.0,0.1,0.01420597114967285,0.11150710139801301,0.1967213114754098,0.028169014084507,0.1492537313432836,,
50%,7.0,4.0,0.2877777777777778,124.0,2.0,0.2816666666666667,4.0,0.2916666666666667,0.2259626010944793,0.4424055465689223,266.0,3.0,0.25,0.0235690622214495,0.1424108309134883,0.2461538461538461,0.0615384615384615,0.1874999999999999,,
75%,11.0,5.0,0.4636111111111111,144.0,2.0,0.5,6.0,0.4593650793650794,0.3197082002910362,,315.0,4.0,0.4013333333333334,0.0433105146106945,0.1777037907090662,0.2985074626865671,0.1034482758620689,0.2333333333333333,,
max,27.0,28.0,1.0,326.0,5.0,1.0,47.0,1.0,0.7189311768431225,inf,518.0,7.0,1.0,0.2896920672561539,0.4119344536915901,0.5797101449275363,0.4477611940298507,0.5507246376811594,,
