,turn_nr,ref_know_nr,ref_know_avg_sentiment,ref_response_length,ref_response_sent_nr,ref_response_summary_sentiment,pred_know_nr,pred_know_avg_sentiment,pred_know_std_sentiment,pred_know_entropy_sentiment,pred_response_length,pred_response_sent_nr,pred_response_summary_sentiment,bleu,meteor,rouge1,rouge2,rougeL,appropriateness,relevance
count,2129.0,2129.0,2129.0,2129.0,2129.0,2129.0,2111.0,2106.0,1653.0,2068.0,2127.0,2127.0,2127.0,2127.0,2127.0,2127.0,2127.0,2127.0,0.0,0.0
mean,8.43917332080789,4.07186472522311,0.3123133394346477,133.54673555659934,1.6899953029591357,0.2994890686636845,4.730459497868309,0.2978694673337532,0.259280494737357,inf,396.37799717912554,4.347437705688764,0.1309207799504795,0.03137741114795846,0.15075783780232113,0.21561322197224245,0.0720722288071976,0.18471432340042962,,
std,4.227015076757772,2.546374827798732,0.2176015451281906,32.04843608588113,0.6587314434878462,0.3008700487090567,3.1318295195416597,0.2098928958353453,0.10159573449206401,,67.21771429389408,0.9562990001823523,0.22462723212283622,0.026579896631707588,0.0506383748676348,0.07240944133474568,0.05506504117732089,0.06314346540361968,,
min,3.0,1.0,-1.0,98.0,1.0,-0.6125,1.0,-1.0,0.0288675134594812,0.0,9.0,1.0,-0.4,0.0,0.0,0.0,0.0,0.0,,
25%,5.0,3.0,0.1555555555555555,111.0,1.0,0.075,3.0,0.15365740740740733,0.1933186228667325,0.0694886225533598,347.5,4.0,0.0,0.0126630292859195,0.1162038208973908,0.16378539493293587,0.0259740259740259,0.1411764705882353,,
50%,7.0,4.0,0.2877777777777778,124.0,2.0,0.2816666666666667,4.0,0.2916666666666667,0.2259626010944793,0.4424055465689223,392.0,4.0,0.1444444444444444,0.0220766976007079,0.1500826926650502,0.2153846153846153,0.0631578947368421,0.1797752808988764,,
75%,11.0,5.0,0.4636111111111111,144.0,2.0,0.5,6.0,0.4593650793650794,0.3197082002910362,,447.0,5.0,0.25277777777777777,0.0431584808385798,0.1837738765908427,0.26190476190476186,0.1038961038961038,0.22120285423037717,,
max,27.0,28.0,1.0,326.0,5.0,1.0,47.0,1.0,0.7189311768431225,inf,566.0,8.0,1.0,0.198035676261929,0.327988993231435,0.4943820224719101,0.3373493975903614,0.4556962025316456,,
