,turn_nr,ref_know_nr,ref_know_avg_sentiment,ref_response_length,ref_response_sent_nr,ref_response_summary_sentiment,pred_know_nr,pred_know_avg_sentiment,pred_know_std_sentiment,pred_know_entropy_sentiment,pred_response_length,pred_response_sent_nr,pred_response_summary_sentiment,bleu,meteor,rouge1,rouge2,rougeL,appropriateness,relevance
count,2129.0,2129.0,2129.0,2129.0,2129.0,2129.0,2111.0,2106.0,1653.0,2068.0,2127.0,2127.0,2127.0,2127.0,2127.0,2127.0,2127.0,2127.0,0.0,0.0
mean,8.43917332080789,4.07186472522311,0.3123133394346477,133.54673555659934,1.6899953029591357,0.2994890686636845,4.730459497868309,0.2978694673337532,0.259280494737357,inf,169.39774330042314,2.0197461212976022,0.44623579640857486,0.039535900389848055,0.11792706760618982,0.22823167293934668,0.052182730215834534,0.16524484809300288,,
std,4.227015076757772,2.546374827798732,0.2176015451281906,32.04843608588113,0.6587314434878462,0.3008700487090567,3.1318295195416597,0.2098928958353453,0.10159573449206401,,14.651189099717252,0.14249929924321553,0.025321686962622575,0.037907451254035274,0.04830176049441307,0.09042424741380588,0.06352672151051421,0.06927117391886697,,
min,3.0,1.0,-1.0,98.0,1.0,-0.6125,1.0,-1.0,0.0288675134594812,0.0,102.0,2.0,-0.0334090909090909,0.0091382371237316,0.0147058823529411,0.0,0.0,0.0,,
25%,5.0,3.0,0.1555555555555555,111.0,1.0,0.075,3.0,0.15365740740740733,0.1933186228667325,0.0694886225533598,161.0,2.0,0.4477272727272727,0.0181545332563735,0.08289184290788884,0.1639344262295081,0.0,0.12,,
50%,7.0,4.0,0.2877777777777778,124.0,2.0,0.2816666666666667,4.0,0.2916666666666667,0.2259626010944793,0.4424055465689223,168.0,2.0,0.4477272727272727,0.0216015243499943,0.1128170199513594,0.2222222222222222,0.0384615384615384,0.1568627450980392,,
75%,11.0,5.0,0.4636111111111111,144.0,2.0,0.5,6.0,0.4593650793650794,0.3197082002910362,,175.0,2.0,0.4477272727272727,0.04738693042585945,0.1462327275091958,0.2807017543859649,0.0869565217391304,0.1999999999999999,,
max,27.0,28.0,1.0,326.0,5.0,1.0,47.0,1.0,0.7189311768431225,inf,294.0,4.0,0.6318181818181818,0.3658350203979107,0.3451545767044131,0.5882352941176471,0.4489795918367346,0.5416666666666667,,
