,turn_nr,ref_know_nr,ref_know_avg_sentiment,ref_response_length,ref_response_sent_nr,ref_response_summary_sentiment,pred_know_nr,pred_know_avg_sentiment,pred_response_length,pred_response_sent_nr,pred_response_summary_sentiment,bleu,meteor,rouge1,rouge2,rougeL,appropriateness,relevance
count,2129.0,2129.0,2129.0,2129.0,2129.0,2129.0,2127.0,2127.0,2127.0,2127.0,2127.0,2127.0,2127.0,2127.0,2127.0,2127.0,0.0,0.0
mean,8.43917332080789,4.07186472522311,0.3123133394346477,133.54673555659934,1.6899953029591357,0.2994890686636845,4.694875411377527,0.29099261546668825,182.62200282087448,2.095909732016925,0.12130791352558681,0.04631074633251638,0.14857011832362263,0.2801863837213324,0.08508530056655911,0.20774074024674216,,
std,4.227015076757772,2.546374827798732,0.2176015451281906,32.04843608588113,0.6587314434878462,0.3008700487090567,3.1466936867187685,0.20381101426280113,74.61845277779494,0.7964037272851926,0.34129540314727863,0.042507936105754325,0.060462646608448016,0.10996503710223658,0.08355275294495146,0.09485531383828502,,
min,3.0,1.0,-1.0,98.0,1.0,-0.6125,0.0,-1.0,30.0,1.0,-0.5,0.0,0.0,0.0,0.0,0.0,,
25%,5.0,3.0,0.1555555555555555,111.0,1.0,0.075,3.0,0.1421527777777778,123.0,2.0,-0.09999999999999995,0.01951170914089785,0.10465335084704311,0.2068965517241379,0.0256410256410256,0.1428571428571428,,
50%,7.0,4.0,0.2877777777777778,124.0,2.0,0.2816666666666667,4.0,0.2875,179.0,2.0,0.125,0.0317074997969105,0.1447690835380198,0.2745098039215686,0.0677966101694915,0.1944444444444444,,
75%,11.0,5.0,0.4636111111111111,144.0,2.0,0.5,6.0,0.4527777777777778,249.0,3.0,0.35,0.05712317265576735,0.18579035956356382,0.34375,0.1269841269841269,0.2553191489361702,,
max,27.0,28.0,1.0,326.0,5.0,1.0,47.0,1.0,357.0,6.0,1.0,0.365249872269675,0.3831142582794615,0.7222222222222223,0.5882352941176471,0.7222222222222223,,
