,turn_nr,ref_know_nr,ref_know_avg_sentiment,ref_response_length,ref_response_sent_nr,ref_response_summary_sentiment,pred_know_nr,pred_know_avg_sentiment,pred_response_length,pred_response_sent_nr,pred_response_summary_sentiment,bleu,meteor,rouge1,rouge2,rougeL,appropriateness,relevance
count,2129.0,2129.0,2129.0,2129.0,2129.0,2129.0,2127.0,2127.0,2127.0,2127.0,2127.0,2127.0,2127.0,2127.0,2127.0,2127.0,0.0,0.0
mean,8.43917332080789,4.07186472522311,0.3123133394346477,133.54673555659934,1.6899953029591357,0.2994890686636845,4.694875411377527,0.29099261546668825,120.04607428302774,1.5566525622943113,0.3577163622789253,0.04841970438778256,0.14124384502721682,0.30195370419928846,0.1054875310149797,0.23777391926505195,,
std,4.227015076757772,2.546374827798732,0.2176015451281906,32.04843608588113,0.6587314434878462,0.3008700487090567,3.1466936867187685,0.20381101426280113,70.16775183992412,0.7762112696965439,0.2762558202466217,0.05092739220712844,0.06186087416066742,0.11748670175093683,0.10409085483759656,0.10877484055668923,,
min,3.0,1.0,-1.0,98.0,1.0,-0.6125,0.0,-1.0,18.0,1.0,-0.6,0.0,0.0,0.0,0.0,0.0,,
25%,5.0,3.0,0.1555555555555555,111.0,1.0,0.075,3.0,0.1421527777777778,65.0,1.0,0.15629870129870127,0.01851031022744875,0.09656161056606455,0.2173913043478261,0.0,0.1604597701149425,,
50%,7.0,4.0,0.2877777777777778,124.0,2.0,0.2816666666666667,4.0,0.2875,101.0,1.0,0.3648148148148148,0.0315686181078602,0.1354743370011756,0.2941176470588235,0.0784313725490196,0.2162162162162162,,
75%,11.0,5.0,0.4636111111111111,144.0,2.0,0.5,6.0,0.4527777777777778,161.0,2.0,0.5387500000000001,0.0586716829107227,0.1827238272238721,0.375,0.1568627450980392,0.2981899015560495,,
max,27.0,28.0,1.0,326.0,5.0,1.0,47.0,1.0,421.0,7.0,1.0,0.6209758221601468,0.454361199632635,0.787878787878788,0.7741935483870968,0.787878787878788,,
