,turn_nr,ref_know_nr,ref_know_avg_sentiment,ref_response_length,ref_response_sent_nr,ref_response_summary_sentiment,pred_know_nr,pred_know_avg_sentiment,pred_know_std_sentiment,pred_know_entropy_sentiment,pred_response_length,pred_response_sent_nr,pred_response_summary_sentiment,bleu,meteor,rouge1,rouge2,rougeL,appropriateness,relevance
count,2129.0,2129.0,2129.0,2129.0,2129.0,2129.0,2111.0,2106.0,1653.0,2068.0,2127.0,2127.0,2127.0,2127.0,2127.0,2127.0,2127.0,2127.0,0.0,0.0
mean,8.43917332080789,4.07186472522311,0.3123133394346477,133.54673555659934,1.6899953029591357,0.2994890686636845,4.730459497868309,0.2978694673337532,0.259280494737357,inf,251.98871650211566,2.458392101551481,0.2851637184755783,0.043004763179464604,0.16156388847990485,0.2790578009955384,0.08712447790150779,0.2004728417869533,,
std,4.227015076757772,2.546374827798732,0.2176015451281906,32.04843608588113,0.6587314434878462,0.3008700487090567,3.1318295195416597,0.2098928958353453,0.10159573449206401,,62.435214698349505,0.8178591299472395,0.23422739958362182,0.03788750691090531,0.055710539964691115,0.09198833046634304,0.0739235769757352,0.07378269370366779,,
min,3.0,1.0,-1.0,98.0,1.0,-0.6125,1.0,-1.0,0.0288675134594812,0.0,9.0,1.0,-0.6,0.0,0.0,0.0,0.0,0.0,,
25%,5.0,3.0,0.1555555555555555,111.0,1.0,0.075,3.0,0.15365740740740733,0.1933186228667325,0.0694886225533598,208.5,2.0,0.123015873015873,0.01727858178488725,0.1225273811847111,0.2153846153846154,0.0307692307692307,0.1481481481481481,,
50%,7.0,4.0,0.2877777777777778,124.0,2.0,0.2816666666666667,4.0,0.2916666666666667,0.2259626010944793,0.4424055465689223,247.0,2.0,0.2625,0.0295969141232017,0.1572681712580889,0.2727272727272727,0.0727272727272727,0.1891891891891891,,
75%,11.0,5.0,0.4636111111111111,144.0,2.0,0.5,6.0,0.4593650793650794,0.3197082002910362,,288.0,3.0,0.425,0.054922155159083094,0.19585763531558398,0.3400240867121638,0.12732185072610605,0.2413793103448276,,
max,27.0,28.0,1.0,326.0,5.0,1.0,47.0,1.0,0.7189311768431225,inf,530.0,5.0,1.0,0.3111664886442391,0.3829031189625373,0.6415094339622641,0.5161290322580646,0.5625000000000001,,
