,turn_nr,ref_know_nr,ref_know_avg_sentiment,ref_response_length,ref_response_sent_nr,ref_response_summary_sentiment,pred_know_nr,pred_know_avg_sentiment,pred_response_length,pred_response_sent_nr,pred_response_summary_sentiment,bleu,meteor,rouge1,rouge2,rougeL,appropriateness,relevance
count,2129.0,2129.0,2129.0,2129.0,2129.0,2129.0,2127.0,2127.0,2127.0,2127.0,2127.0,2127.0,2127.0,2127.0,2127.0,2127.0,0.0,0.0
mean,8.43917332080789,4.07186472522311,0.3123133394346477,133.54673555659934,1.6899953029591357,0.2994890686636845,4.694875411377527,0.29099261546668825,159.16220028208744,2.531264692054537,0.3565253263911333,0.060393749187334866,0.14860476604887476,0.31197815104622745,0.11403666038245097,0.24559744306951375,,
std,4.227015076757772,2.546374827798732,0.2176015451281906,32.04843608588113,0.6587314434878462,0.3008700487090567,3.1466936867187685,0.20381101426280113,70.23914612657362,0.7654556430494107,0.2769912100529991,0.059723732193261186,0.06090241734649303,0.11243319437236608,0.10204682709424946,0.11163304933218121,,
min,3.0,1.0,-1.0,98.0,1.0,-0.6125,0.0,-1.0,58.0,1.0,-0.6,0.0,0.0055077452667814,0.0,0.0,0.0,,
25%,5.0,3.0,0.1555555555555555,111.0,1.0,0.075,3.0,0.1421527777777778,104.0,2.0,0.15,0.0223317339994391,0.1030620094299867,0.2325581395348837,0.0363636363636363,0.1612903225806451,,
50%,7.0,4.0,0.2877777777777778,124.0,2.0,0.2816666666666667,4.0,0.2875,140.0,2.0,0.3628571428571429,0.0400846823347707,0.1465168479597402,0.303030303030303,0.097560975609756,0.2272727272727272,,
75%,11.0,5.0,0.4636111111111111,144.0,2.0,0.5,6.0,0.4527777777777778,200.0,3.0,0.5375,0.07488774224576525,0.1889100773694074,0.38653084323712505,0.1702127659574468,0.3113997113997114,,
max,27.0,28.0,1.0,326.0,5.0,1.0,47.0,1.0,461.0,7.0,1.0,0.5278627722123208,0.3993852365961178,0.761904761904762,0.65,0.761904761904762,,
