,turn_nr,ref_know_nr,ref_know_avg_sentiment,ref_response_length,ref_response_sent_nr,ref_response_summary_sentiment,pred_know_nr,pred_know_avg_sentiment,pred_response_length,pred_response_sent_nr,pred_response_summary_sentiment,bleu,meteor,rouge1,rouge2,rougeL,appropriateness,relevance
count,2129.0,2129.0,2129.0,2129.0,2129.0,2129.0,2127.0,2127.0,2127.0,2127.0,2127.0,2127.0,2127.0,2127.0,2127.0,2127.0,0.0,0.0
mean,8.43917332080789,4.07186472522311,0.3123133394346477,133.54673555659934,1.6899953029591357,0.2994890686636845,4.694875411377527,0.29099261546668825,249.93370944992947,2.84579219558063,0.2156458296441707,0.04401996817299996,0.1619750671765392,0.2879368711590807,0.0851395152294753,0.20738514048920556,,
std,4.227015076757772,2.546374827798732,0.2176015451281906,32.04843608588113,0.6587314434878462,0.3008700487090567,3.1466936867187685,0.20381101426280113,78.82657069134667,0.8136360904895706,0.20090560628234796,0.037473562730718585,0.05333359727426398,0.09146642496985483,0.06812229737493128,0.07337533390878788,,
min,3.0,1.0,-1.0,98.0,1.0,-0.6125,0.0,-1.0,9.0,1.0,-0.5,0.0,0.0060913705583756,0.0,0.0,0.0,,
25%,5.0,3.0,0.1555555555555555,111.0,1.0,0.075,3.0,0.1421527777777778,192.0,2.0,0.0777777777777777,0.01875129709338355,0.12598252231620724,0.22335600907029474,0.032258064516129,0.1538461538461538,,
50%,7.0,4.0,0.2877777777777778,124.0,2.0,0.2816666666666667,4.0,0.2875,238.0,3.0,0.2125,0.0314536664516335,0.1594403634725463,0.2857142857142857,0.074074074074074,0.1975308641975308,,
75%,11.0,5.0,0.4636111111111111,144.0,2.0,0.5,6.0,0.4527777777777778,289.0,3.0,0.3510606060606061,0.056503521282850105,0.19771914882476485,0.3492063492063492,0.1269841269841269,0.25,,
max,27.0,28.0,1.0,326.0,5.0,1.0,47.0,1.0,529.0,8.0,1.0,0.3064859599765908,0.3829423802853998,0.6984126984126985,0.490566037735849,0.56,,
