,turn_nr,ref_know_nr,ref_know_avg_sentiment,ref_response_length,ref_response_sent_nr,ref_response_summary_sentiment,pred_know_nr,pred_know_avg_sentiment,pred_know_std_sentiment,pred_know_entropy_sentiment,pred_response_length,pred_response_sent_nr,pred_response_summary_sentiment,bleu,meteor,rouge1,rouge2,rougeL,appropriateness,relevance
count,2129.0,2129.0,2129.0,2129.0,2129.0,2129.0,2111.0,2106.0,1653.0,2068.0,2127.0,2127.0,2127.0,2127.0,2127.0,2127.0,2127.0,2127.0,0.0,0.0
mean,8.43917332080789,4.07186472522311,0.3123133394346477,133.54673555659934,1.6899953029591357,0.2994890686636845,4.730459497868309,0.2978694673337532,0.259280494737357,inf,165.0568876351669,2.0404325340855665,0.09710771218281797,0.06984369160626828,0.1647680902398417,0.3253848904787953,0.11747194647999118,0.24326070326348478,,
std,4.227015076757772,2.546374827798732,0.2176015451281906,32.04843608588113,0.6587314434878462,0.3008700487090567,3.1318295195416597,0.2098928958353453,0.10159573449206401,,33.467034345198876,0.31167529150123635,0.2524417513620662,0.06117656510920682,0.06422153007889798,0.11295375947533463,0.09267925736685982,0.09902021349010252,,
min,3.0,1.0,-1.0,98.0,1.0,-0.6125,1.0,-1.0,0.0288675134594812,0.0,9.0,1.0,-0.6,0.0,0.0,0.0,0.0,0.0,,
25%,5.0,3.0,0.1555555555555555,111.0,1.0,0.075,3.0,0.15365740740740733,0.1933186228667325,0.0694886225533598,142.5,2.0,-0.0833333333333333,0.027968519826814198,0.11846440414113629,0.25,0.0425531914893617,0.1739130434782608,,
50%,7.0,4.0,0.2877777777777778,124.0,2.0,0.2816666666666667,4.0,0.2916666666666667,0.2259626010944793,0.4424055465689223,165.0,2.0,0.1111111111111111,0.04717193153042,0.1612536177316613,0.3214285714285714,0.1034482758620689,0.2307692307692307,,
75%,11.0,5.0,0.4636111111111111,144.0,2.0,0.5,6.0,0.4593650793650794,0.3197082002910362,,189.0,2.0,0.2444444444444444,0.09599476388555005,0.20556170310306032,0.3999999999999999,0.1702127659574468,0.2978723404255319,,
max,27.0,28.0,1.0,326.0,5.0,1.0,47.0,1.0,0.7189311768431225,inf,441.0,3.0,1.0,0.5048436902501794,0.4209897489696484,0.7636363636363636,0.5957446808510639,0.693877551020408,,
