,turn_nr,ref_know_nr,ref_know_avg_sentiment,ref_response_length,ref_response_sent_nr,ref_response_summary_sentiment,pred_know_nr,pred_know_avg_sentiment,pred_response_length,pred_response_sent_nr,pred_response_summary_sentiment,bleu,meteor,rouge1,rouge2,rougeL,appropriateness,relevance
count,2129.0,2129.0,2129.0,2129.0,2129.0,2129.0,2127.0,2127.0,2127.0,2127.0,2127.0,2127.0,2127.0,2127.0,2127.0,2127.0,0.0,0.0
mean,8.43917332080789,4.07186472522311,0.3123133394346477,133.54673555659934,1.6899953029591357,0.2994890686636845,4.694875411377527,0.29099261546668825,442.37564645039964,4.6840620592383635,0.23162245505600243,0.028347370772271535,0.16291320756934852,0.22866802469617697,0.06972525931087598,0.1713579179885299,,
std,4.227015076757772,2.546374827798732,0.2176015451281906,32.04843608588113,0.6587314434878462,0.3008700487090567,3.1466936867187685,0.20381101426280113,57.57569706903261,1.071237251594727,0.17503013702698547,0.023267846085068624,0.04690865436669288,0.06721522740485836,0.051701618026829266,0.05372594627148966,,
min,3.0,1.0,-1.0,98.0,1.0,-0.6125,0.0,-1.0,9.0,1.0,-0.5,0.0,0.0060913705583756,0.0,0.0,0.0,,
25%,5.0,3.0,0.1555555555555555,111.0,1.0,0.075,3.0,0.1421527777777778,408.0,4.0,0.11077441077441075,0.0128056059652968,0.13106654712933868,0.18367346938775506,0.029631255487269498,0.1346153846153846,,
50%,7.0,4.0,0.2877777777777778,124.0,2.0,0.2816666666666667,4.0,0.2875,455.0,5.0,0.22,0.0206956714114345,0.1617524701561821,0.2242990654205607,0.0612244897959183,0.1666666666666666,,
75%,11.0,5.0,0.4636111111111111,144.0,2.0,0.5,6.0,0.4527777777777778,484.0,5.0,0.3471906565656565,0.0371284317461512,0.1918915139065234,0.2716049382716049,0.099009900990099,0.2022471910112359,,
max,27.0,28.0,1.0,326.0,5.0,1.0,47.0,1.0,583.0,8.0,1.0,0.2203184007504286,0.3796209737377912,0.5205479452054794,0.3943661971830986,0.4931506849315069,,
