,turn_nr,ref_know_nr,ref_know_avg_sentiment,ref_response_length,ref_response_sent_nr,ref_response_summary_sentiment,pred_know_nr,pred_know_avg_sentiment,pred_response_length,pred_response_sent_nr,pred_response_summary_sentiment,bleu,meteor,rouge1,rouge2,rougeL,appropriateness,relevance
count,2129.0,2129.0,2125.0,2129.0,2129.0,2129.0,2127.0,2122.0,2127.0,2127.0,2127.0,2127.0,2127.0,2127.0,2127.0,2127.0,0.0,0.0
mean,8.43917332080789,4.07186472522311,0.3196517521595585,133.54673555659934,1.6899953029591357,0.2994890686636845,4.694875411377527,0.295623514705412,129.66525622943112,1.9111424541607898,0.2706281328611489,0.09546167451285921,0.1845824953223129,0.3652166901382253,0.14916902733334705,0.28763750042074593,,
std,4.227015076757772,2.546374827798732,0.22294074579680834,32.04843608588113,0.6587314434878462,0.3008700487090567,3.1466936867187685,0.2106821377274086,29.07281272129424,0.5392435399775511,0.30588777273773354,0.09969486047970537,0.07628967138796999,0.13175415123930312,0.1302709702696178,0.13353290580418298,,
min,3.0,1.0,-1.0,98.0,1.0,-0.6125,0.0,-1.0,77.0,1.0,-0.75,0.0057367074193834,0.0216411181244364,0.0,0.0,0.0,,
25%,5.0,3.0,0.1666666666666666,111.0,1.0,0.075,3.0,0.14679793792517004,112.0,2.0,0.0,0.0328351199756287,0.12956572970007374,0.2758620689655172,0.05,0.1951219512195122,,
50%,7.0,4.0,0.2900793650793651,124.0,2.0,0.2816666666666667,4.0,0.2916666666666667,122.0,2.0,0.25,0.05928330061638,0.1769146896378983,0.35,0.1194029850746268,0.2608695652173913,,
75%,11.0,5.0,0.4636111111111111,144.0,2.0,0.5,6.0,0.4593650793650794,137.0,2.0,0.4833333333333333,0.1223806519194448,0.22689356834522564,0.4444444444444445,0.2105263157894736,0.3529411764705882,,
max,27.0,28.0,1.0,326.0,5.0,1.0,47.0,1.0,282.0,4.0,1.0,0.8217335000553636,0.5499320255314258,0.9333333333333332,0.8837209302325582,0.9333333333333332,,
