,turn_nr,ref_know_nr,ref_know_avg_sentiment,ref_response_length,ref_response_sent_nr,ref_response_summary_sentiment,pred_know_nr,pred_know_avg_sentiment,pred_know_std_sentiment,pred_know_entropy_sentiment,pred_response_length,pred_response_sent_nr,pred_response_summary_sentiment,bleu,meteor,rouge1,rouge2,rougeL,appropriateness,relevance
count,2129.0,2129.0,2129.0,2129.0,2129.0,2129.0,2111.0,2106.0,1653.0,2068.0,2127.0,2127.0,2127.0,2127.0,2127.0,2127.0,2127.0,2127.0,0.0,0.0
mean,8.43917332080789,4.07186472522311,0.3123133394346477,133.54673555659934,1.6899953029591357,0.2994890686636845,4.730459497868309,0.2978694673337532,0.259280494737357,inf,181.27550540667607,2.403385049365303,0.27584534764860724,0.05151962957037723,0.15709307112866114,0.30847329623013625,0.0918499825065472,0.21826358964835116,,
std,4.227015076757772,2.546374827798732,0.2176015451281906,32.04843608588113,0.6587314434878462,0.3008700487090567,3.1318295195416597,0.2098928958353453,0.10159573449206401,,56.66965617724591,0.6285372630830994,0.25851911052154014,0.04595482003574094,0.05547084529377257,0.09860254414333422,0.07745747578693206,0.08296551123078404,,
min,3.0,1.0,-1.0,98.0,1.0,-0.6125,1.0,-1.0,0.0288675134594812,0.0,9.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,,
25%,5.0,3.0,0.1555555555555555,111.0,1.0,0.075,3.0,0.15365740740740733,0.1933186228667325,0.0694886225533598,139.0,2.0,0.1,0.0216015243499943,0.1189512336227061,0.24,0.0363636363636363,0.1612903225806451,,
50%,7.0,4.0,0.2877777777777778,124.0,2.0,0.2816666666666667,4.0,0.2916666666666667,0.2259626010944793,0.4424055465689223,168.0,2.0,0.25,0.0363292887798522,0.1530104406701066,0.303030303030303,0.0799999999999999,0.2051282051282051,,
75%,11.0,5.0,0.4636111111111111,144.0,2.0,0.5,6.0,0.4593650793650794,0.3197082002910362,,216.0,3.0,0.4315656565656566,0.06488783227195474,0.19193399834006886,0.3720930232558139,0.1333333333333333,0.2608695652173913,,
max,27.0,28.0,1.0,326.0,5.0,1.0,47.0,1.0,0.7189311768431225,inf,407.0,5.0,1.0,0.4554012944053686,0.4524705568474114,0.7407407407407407,0.576923076923077,0.7037037037037037,,
