,turn_nr,ref_know_nr,ref_know_avg_sentiment,ref_response_length,ref_response_sent_nr,ref_response_summary_sentiment,pred_know_nr,pred_know_avg_sentiment,pred_response_length,pred_response_sent_nr,pred_response_summary_sentiment,bleu,meteor,rouge1,rouge2,rougeL,appropriateness,relevance
count,2129.0,2129.0,2129.0,2129.0,2129.0,2129.0,2127.0,2127.0,2127.0,2127.0,2127.0,2125.0,2125.0,2125.0,2125.0,2125.0,0.0,0.0
mean,8.43917332080789,4.07186472522311,0.3123133394346477,133.54673555659934,1.6899953029591357,0.2994890686636845,4.694875411377527,0.29099261546668825,181.16502115655854,2.2740949694405264,0.2397335679096291,0.05507547232914874,0.15856239564304628,0.3059905388676781,0.09896562052910149,0.2280166600221536,,
std,4.227015076757772,2.546374827798732,0.2176015451281906,32.04843608588113,0.6587314434878462,0.3008700487090567,3.1466936867187685,0.20381101426280113,83.8364921811998,0.8892592689539927,0.25047392009875635,0.05295333425089803,0.06344194386584141,0.111470129065168,0.0887521058493057,0.09885035652649059,,
min,3.0,1.0,-1.0,98.0,1.0,-0.6125,0.0,-1.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,,
25%,5.0,3.0,0.1555555555555555,111.0,1.0,0.075,3.0,0.1421527777777778,136.5,2.0,0.05,0.0216699644077546,0.114934600174518,0.2264150943396226,0.037037037037037,0.16,,
50%,7.0,4.0,0.2877777777777778,124.0,2.0,0.2816666666666667,4.0,0.2875,167.0,2.0,0.2255555555555556,0.0365294577253626,0.1544906618366671,0.3,0.0816326530612244,0.2127659574468085,,
75%,11.0,5.0,0.4636111111111111,144.0,2.0,0.5,6.0,0.4527777777777778,200.0,3.0,0.3999999999999999,0.067759672950985,0.1978307922493248,0.375,0.1403508771929824,0.28,,
max,27.0,28.0,1.0,326.0,5.0,1.0,47.0,1.0,531.0,8.0,1.0,0.4941109918128317,0.4989145981382151,0.8947368421052632,0.8333333333333333,0.8947368421052632,,
