,turn_nr,ref_know_nr,ref_know_avg_sentiment,ref_response_length,ref_response_sent_nr,ref_response_summary_sentiment,pred_know_nr,pred_know_avg_sentiment,pred_know_std_sentiment,pred_know_entropy_sentiment,pred_response_length,pred_response_sent_nr,pred_response_summary_sentiment,bleu,meteor,rouge1,rouge2,rougeL,appropriateness,relevance
count,2129.0,2129.0,2129.0,2129.0,2129.0,2129.0,2111.0,2106.0,1653.0,2068.0,2127.0,2127.0,2127.0,2127.0,2127.0,2127.0,2127.0,2127.0,0.0,0.0
mean,8.43917332080789,4.07186472522311,0.3123133394346477,133.54673555659934,1.6899953029591357,0.2994890686636845,4.730459497868309,0.2978694673337532,0.259280494737357,inf,211.27127409496944,2.5815702867889048,0.28319012457708276,0.04913452285206172,0.15873770595854858,0.2993912031737433,0.08700100275218207,0.20691428248224786,,
std,4.227015076757772,2.546374827798732,0.2176015451281906,32.04843608588113,0.6587314434878462,0.3008700487090567,3.1318295195416597,0.2098928958353453,0.10159573449206401,,81.42598020026786,0.8487713313529631,0.24726145014090448,0.04465486816671644,0.05344315073567407,0.09643866033756579,0.07406111701081887,0.07277315658634498,,
min,3.0,1.0,-1.0,98.0,1.0,-0.6125,1.0,-1.0,0.0288675134594812,0.0,10.0,1.0,-0.75,0.0,0.0051009564293304,0.0,0.0,0.0,,
25%,5.0,3.0,0.1555555555555555,111.0,1.0,0.075,3.0,0.15365740740740733,0.1933186228667325,0.0694886225533598,155.0,2.0,0.125,0.0200024006897363,0.12138431783539115,0.2318840579710145,0.0338983050847457,0.1538461538461538,,
50%,7.0,4.0,0.2877777777777778,124.0,2.0,0.2816666666666667,4.0,0.2916666666666667,0.2259626010944793,0.4424055465689223,189.0,2.0,0.25,0.0326779688024432,0.1538958874657434,0.2916666666666667,0.074074074074074,0.1951219512195122,,
75%,11.0,5.0,0.4636111111111111,144.0,2.0,0.5,6.0,0.4593650793650794,0.3197082002910362,,251.5,3.0,0.425,0.06263418929539455,0.1937934557044855,0.35977528089887634,0.1276595744680851,0.2465753424657534,,
max,27.0,28.0,1.0,326.0,5.0,1.0,47.0,1.0,0.7189311768431225,inf,585.0,10.0,1.0,0.422944053403852,0.3901595120642719,0.7272727272727272,0.4888888888888888,0.5128205128205129,,
